distanza,quota
0.0,279.0
5.0,280.0
10.0,281.0
15.0,283.0
20.0,285.0
25.0,287.0
30.0,288.0
35.0,290.0
40.0,292.0
45.0,293.0
50.0,295.0
55.0,296.0
60.0,298.0
65.0,299.0
70.0,301.0
75.0,302.0
80.0,304.0
85.0,306.0
90.0,308.0
95.0,309.0
100.0,309.0
105.0,310.0
110.0,310.0
115.0,312.0
120.0,314.0
125.0,315.0
130.0,317.0
135.0,318.0
140.0,320.0
145.0,322.0
150.0,324.0
155.0,326.0
160.0,329.0
165.0,332.0
170.0,335.0
175.0,339.0
180.0,341.0
185.0,344.0
190.0,346.0
195.0,349.0
200.0,352.0
205.0,353.0
210.0,355.0
215.0,358.0
220.0,361.0
225.0,363.0
230.0,364.0
235.0,367.0
240.0,369.0
245.0,371.0
250.0,374.0
255.0,374.0
260.0,376.0
265.0,378.0
270.0,380.0
275.0,381.0
280.0,383.0
285.0,382.0
290.0,384.0
295.0,385.0
300.0,386.0
305.0,388.0
310.0,388.0
315.0,389.0
320.0,391.0
325.0,394.0
330.0,396.0
335.0,398.0
340.0,400.0
345.0,403.0
350.0,406.0
355.0,409.0
360.0,410.0
365.0,413.0
370.0,415.0
375.0,417.0
380.0,419.0
385.0,419.0
390.0,420.0
395.0,421.0
400.0,422.0
405.0,424.0
410.0,425.0
415.0,426.0
420.0,427.0
425.0,428.0
430.0,429.0
435.0,431.0
440.0,432.0
445.0,434.0
450.0,436.0
455.0,437.0
460.0,439.0
465.0,440.0
470.0,442.0
475.0,445.0
480.0,448.0
485.0,450.0
490.0,452.0
495.0,453.0
498.2732800885424,455.0
